Z (nm),Energy (kcal/mol)
0,3.373733670753056
1,2.9029953658536525
2,2.4213958834154448
3,2.078113532710283
4,1.8739145345167745
5,1.7592518793706204
6,1.6088244235880444
7,1.4260901349325388
8,1.3713428176943607
9,1.2644310000000036
10,1.2491322386831298
11,1.258971683497538
12,1.208875013495283
13,1.2352732850940704
14,1.3011978517482459
15,1.305204633975472
16,1.3018178177570008
17,0.7754806994784853
18,0.4844231310928693
19,0.046094720948045426
20,0.12483301534653479
21,-0.006024729262467571
22,0.031243467092827625
23,0.03530759685054142
24,0.10912793694547736
25,0.007521302910190868
26,0.0755459476332162
27,-0.49740694091885984
28,0.5301395366366358
29,0.2036948065176909
30,0.055876334862806264
31,-0.14039609118488325
32,-0.2105665462974723
33,-0.3734710740595607
34,0.2073359274376401
35,0.16541518750000037
36,0.11800939709983256
37,0.08078252763819088
38,0.04593047480482553
39,0.009958920885629757
