Z (nm),Energy (kcal/mol)
0,4.725656447963797
1,3.7158614977375617
2,3.070261971659913
3,2.647413198275861
4,2.374924315508027
5,2.1821415429864275
6,1.92667736196319
7,1.710277228758169
8,1.571021530666671
9,1.486149009195403
10,1.4219401951219561
11,1.3712917293064877
12,1.3642920000000034
13,1.4395371868686857
14,1.3315323767123264
15,1.478469112244897
16,1.1902687707509847
17,0.49409222448979545
18,0.4519729643235631
19,0.3613064368977403
20,0.3170675646560405
21,0.12011771069120734
22,0.1568252022353573
23,-0.21914510894413652
24,-0.15903300154356723
25,-0.4757321844890308
26,-0.5998808476802481
27,0.32199742033898304
28,0.29694398913718273
29,-0.23168529698090226
30,0.018297529629629262
31,0.3961289045307447
32,0.2441719026402639
33,0.3321215992844344
34,0.2269892282091916
35,0.13073610991636866
36,0.18484283333333357
37,0.1398624773462781
38,0.07969116118421089
39,0.017322092391304392
